"rating","text"
"no"," | Recently flew to LAX from Boston on JetBlue, the pilot announced prior to flight at the gate that the TV's were not working and that they would give us JetBlue points for the inconvenience. Later I find out Jetblue does not give out points for issues with travel. So basically I was lied to. On top of that, a year and half ago there was a technical issue on our flight and we had points given before we even landed, a major reason I used to chose JetBlue first, prompt customer service. The other reason being the technology on board which is now dated and failing on a lot of flights. The flight attendants on this particular flight were miserable and had no empathy towards the lack of entertainment nor the fact the power was not working in my seat. Jetblue used to be a great customer first airline, now it falls into the likes of being just another airline with ok service and amenities."
"no"," | San Juan to Ft. Lauderdale. Very dissatisfied with experience and will not recommend using them to save a few bucks. My flight was cancelled 5 minutes past boarding time. We were to leave at 5am and we're at the airport since 345am. The bathrooms, both, on the airplane broke and they could not fix it. We were told on the intercom the flight was cancelled and to come to the counter to get rebooked. The only flight available for me was the next day. I missed work and lost another vacation day after attending a funeral. Their compensation was to credit me $100 and I was told that is it. I paid for a high Monday fair when the Tuesday fair was $ 100 less and the rep. Told me there is nothing she would do for me. Not even credit me the $140 difference in price your own airline and other airlines offered for Tuesday? The rep then told me it wasn't cancelled it was delayed and left at 1039am. She told me over and over it was delayed not cancelled. I told her I was there and it was cancelled that's why 200 other flyers were rebooking flights. Also you should know they do not have any parterships with other airlines so once you pay you stay with JetBlue. I've not been treated by your competition like this and will not fly or recommend anyone to fly on this airline. We're booking a reunion for 45 family members and will choose Southwest to fly. My thoughts are when I pay you to take me somewhere at a specific time you do everything to make that happen or refund your customers. It certainly wouldn't work the other way around if I were to change my mind at the last minute."
"no"," |  Cleveland to Boston. Worst flight ever. I picked my seats when I booked. Got bumped out of my seat next to my boyfriend and told that I couldn’t do anything about it. They then mandatory checked my bag without my permission. It made my trip much longer because I wanted to carry on and wasn’t allowed to. I was supposed to be sitting In the front, ended up in the back. Will never fly with this company again. "
"yes"," |  New York to Los Angeles. I paid extra for the seat, and as the Jetblue itself says, “nothing worse than to discover that your neighbor is flying in a better seat, and paid less”. That was my case: I paid more and I was by the bathroom, with the noise and smell of it. Terrible."
"no"," |  Orlando to Newark. We were on tour at USA and Jet Blue staff behavior gave us a strange feeling. Can not imagine that staff of a service provider in United States can act this way. At first on MCO airport while check-in they made two different ways of check-in for two different tickets of my own family. I traveled 3 weeks later then my family from DXB to EWR. So we had two different tickets though while return was together. I think Jet Blue staff while check-in make their own rules that suits their convenience and not the convenience of pax. Later at EWR the lady staff who was to take care of our bags was acting as if we are asking a free favor from JetBlue or their staff. We were already tired of night journey and on top of that such behavior made me decided that hence forth unless some strong reason in my life, I will never ever travel by Jet Blue even I get a free ticket. Such a poor service and such a difficult behavior of Jet Blue Staff!  Jet Blue shall inform their staff that passengers buy ticket and travel using their flights. We were polite at all the times then why act this way? Jet Blue Staff behaved like obliging us. It was beyond our expectation even from humanity point of view. No where in USA during our 7 weeks/4 weeks tour any one behaved so bad with us."
"no"," |  Bradley Intl to Tampa. I booked a flight on July 31, 2019. I printed the confirmation page including ""Itinerary confirmation Your all set to Jet!"" and a confirmation code. In September, I noticed I did not receive an email confirmation. I called customer service and after a 30 minute wait, I was told that my reservation did not go through. When I pressed for a reason, the customer service agent hung up. I then tried to rebook the same reservation 3 more times (using 2 different devices). After getting to the end for all 3 times, the system timed out and told me to call customer service. My previous experience with JetBlue was a round trip to NYC (perfect) and a round trip to Boston (flight cancelled the way out and had to book on another airline) the flight back was delayed 18 hours - first for weather and then because they could not locate a crew. We fly 12 times plus a year. Avoid Jet Blue. Their technology is a mess and they are short staffed."
"yes"," |  On my first trip with JetBlue was a 9pm flight. I hadn't eaten all day and forgot my snacks at home, and the flight attendants told me I could have as many snacks as i wanted and could grab more anytime i wanted. The tickets were inexpensive, the attendants were extremely friendly, and my bags were already waiting for me at the claim. I dont think i could have had a better experience anywhere else.  JetBlue will  be my first choice airline now."
"no"," |  Orlando to Atlanta. We did not hear the boarding process being called, even though we were at the gate an hour prior to take-off. The first time we heard an announcement was when we heard the doors were closing. When we approached the desk to ask, we were “greeted” with a very unpleasant Jet Blue representative who was unhelpful and threatened to have as removed. Her first comments were “you are late because you went to Starbucks,” except we went to Starbucks over an hour before coming to gate. We had been at the gate at least 30 minutes prior to takeoff. They refused to open the doors, which is understandable, but the way in which we were treated was unacceptable. We were told to see the service desk who also were unhelpful and did not offer anything to remedy the issue. There were no flights offered out that day as well as no information as what else to. Other than “That is your only choice!” (I would put that in all caps but they would not post my review otherwise). We ended up booking another flight out with another airline who were very helpful and apologetic even though they did not cause the issue. We were able to get on a flight out within an hour. Now that’s customer service. Maybe this airline should send employees to get trained by another airline agency. Until then, I refuse to fly this airline again because I feel all should be treated with a little bit of courtesy."
"no"," |  New Orleans to New York. We were in boarding group E since we didn't want to pay more. After watching others load onto the plane with more than 2 carry-on bags and cabin staff luggage on board we were informed that there was no room for our carry on. It would have to be checked at the gate. We were seated in the front part of the aircraft and yet somehow when we were deplaning people who had sat in front of us were either waiting or walking towards our row to retrieve their luggage."
"no"," |  I was scheduled to fly on JetBlue, from Worcester, Ma to Orlando, Fl on 8-9-19. After multiple delays, spanning 11 hours, the flight was canceled due to 'mechanical issues', crew time limits, etc. We were all told that we would each receive $350 in 'travel credits'. Then I got to stand in line for another 30 minutes, at 2 am, to re-book. During my stay in line, I saw that I now had an email from JetBlue, stating that I was scheduled to fly out at 6 am (in a few hours..) on another plane, go thru JFK, and spend 7 hrs there, before flying on to Orlando! Pretty unappealing since I just had my nonstop canceled, and I was exhausted. I ended up getting rescheduled for a flight 2 days later. Of course, I had to call my girlfriend at 3 am to pick me up by now. On 8-28-19, after my stay in Orlando, I tried to check in online, and to print my boarding pass. My confirmation code was 'not found'. I tried the hotel's computers, and the phone app. I was able however, after a 18 minute wait, to reach a real person at JetBlue. They told me I was in the system, but would have to check in at the airport the next day, when I was flying back to Worcester. Awesome. So, on 8-29-19, I checked in at the airport. While there, I asked why I'd received an email from JetBlue Reservations, with my itinerary, and a cost that was double that of my original round-trip ticket. I was told that the cost looked ok in the system, and not to worry, unless I saw a problem with my credit card. My journey with JetBlue wasn't complete until there was a 2.5 hour delay due to yes, another 'mechanical issue'. I made it back to Worcester. Now I get to wade through 3 emails explaining how I get to use the 'travel credits'."
"yes"," |  I am pleased with the service I receive with Jet Blue Airlines. However, on my most recent trip I did not receive the normal Flight attendant service. I am a Mosaic customer and on my most recent flight when I the flight attendant was passing out beverages I asked for a Vodka and cranberry juice. The attendant responded with there is no more Vodka on the plane, which I could understand not having enough inventory if I was in the last few seats to be served, however I was in Row 10. About 10 minutes later I saw a passenger ask for Vodka and he received 2 bottles. When I saw the Flight attendant again I said I thought there was no more Vodka on the plane, his comment was we located some additional Vodka, so I again requested a Vodka and cranberry. After waiting approximately 15 minutes I still had not received my drink, I could see the FA in the front galley just standing around. I had to use the restroom so I went to the front of the plane, after using the restroom, the FA was still in the front galley I asked him where was my Vodka, he reached into a plastic bag and pulled out a bottle of Vodka. I asked him for a glass of Ice and the cranberry juice, he said I would have to go to the back of the plane and asked the Flight attendant back there which I did and she was very helpful. "
"no"," |  San Francisco to San Juan PR.  We flew Jet Blue Mint. I bought 4 tickets. The flight from SFO to JFK due to weather conditions but that we shouldn't change our itinerary because the connecting flight was delayed as well so we would still make it on time. However our connecting flight landed at JFK on time which doesn't make any sense and then left on time which meant we were stranded at JFK all night since it was the last flight 11:30pm. The next flight was 6am. We went to a kiosk and asked for help, the girl wouldn't even look up from her personal cell phone until I said her name. Keep in mind my children are 11 and 6 year old twins, exhausted hungry and cold. The agent couldn't help us she said because she didn't have a ""radio"" or phone to call anybody to help with water, cots, snacks or food or anything in fact including getting us on the next flight. We walked across the entire terminal and waited 45 minutes to talk to somebody who said they were closing. Mohamed said they had many delays because of construction at the terminal. We along with 40 other people demanded they help us ... they promised cots and water and they never came. After we went back to follow up all employees of Jetblue were gone. I found a maintenance man to help and he brought water. JetBlue didn't care about me and more importantly the safety or conditions for my little kids and their employees were beyond unprofessional lacking empathy or will to do the right thing. Other airlines provide blankets, snacks, water, and assistance. Don't lie and say weather and then not even care for your customers."
"no"," |  New York JFK to Orlando. On August 19, I had to fly out to Orlando Florida from JFK with Jetblue flight 1183 leaving at 2:5- and arriving in Orlando at 6:09. Grant it I understand issues happen and things delay an aircraft from leaving I get it. However, we boarded the plane 30 minute late. WE got on the runway and they left us there for over 3 hours. To a point my dad needed to get up because he suffers from blood clot. However no one would let him get up. They kept telling him to sit down, which caused him health issues. We originally had to drive down to Florida on Saturday but because of my dad issues we ended up flying. If I drove to Florida I would be in Orlando quicker then what Jetblue did to us. We got to the airport at 12 noon. My dad had nothing to eat which means he couldnt take his medication. After over 3 hours on the plane they finally got us back to the gate. To let some people get off and others stay on the plane. My dad stayed behind because his wheelchair was below the aircraft. About 45 minute later they wanted everyone off the plane. Jetblue refused to give us back my dad wheelchair that they refused to go below the aircraft to get it where I checked it in at the gate. They wouldn't even give him a wheelchair that he had to struggle to get off the plane. The guy was chasing us off the plane, almost causing my father to all most fall because he lost his balance. Then when at the gate, the lady at the desk said her shift was over and she can careless of what happens at this point. Wouldn't even give us any information. A pilot had to come off the plane to find out why we weren't being boarded back on the plane, to realize that no jetblue agent was at the gate to assist us. Even after we landed at 11 something. It took over an hour and a half for them to give us our luggage from the plane. Many people are there complaining, some with small kids. Yet Jetblue was heartless, disrespectful and did have a care in the world about the people waiting. As long as they are making their money Knowing most of the people on that flight didn't have food to eat for over 12 hours. Even the corporate office said they wont help because it not a big issue or the fact it didn't fall into an FA issue.  They even broke my dad wheelchair. I had to rent one while at old key west resort. That i even forward my invoice showing my purchase, yet they still wont replace his damage wheelchair. They cause me so much more money out of pocket - a new wheelchair, had to spend extra on my rental because the one I had reserved was given out because I didnt pick it up by 8 pm. and had to pay to upgrade to another car. Yet Jetblue wouldn't help me or my family. Even passenger on the flight called to complain and no one would help them.  Also keep in mind Jetblue let flight schedule to leave to Orlando after us ended up leaving before us."
"no"," | One word to describe my experience with JetBlue Airways: disappointing. In preparation for the departure flight from New York to Orlando, we sat for over 2 hours on the runway! Our flight kept getting delayed without clear communication as to why. On the return trip, to New York, we experienced more of the same! Our flight was delayed by 4 hours! The crew members did not greet everyone or behaved as though they wanted to serve you. I asked for an additional cup of ice water during the flight was responded to with a contemptuous “will that be all?!” As in please do not ask me for anything else. I will never fly with this airline again."
"yes"," |  Mexico City to New York. This was my first international flight with jetBlue and it was a pleasure to fly with them. Check in in Mexico City has to be done at the counter since mobile boarding passes are unavailable for the flight, regardless it was a breeze. I got an older A320 with no power outlets and non-working WiFi but at least the movies were all working and the crew was exceptional, two crew members remembered me from previous flights years ago and were extremely courteous and pleasant. I had a full row to myself on this flight and the 4h20 mins it took to get to NYC went by very fast. Once again a shout out to the crew."
"no"," |  Worcester to Fort Lauderdale. Can’t you get this flight to depart on time? You continue too board us then have us sit on plane for hrs waiting for either maintenance or supposed weather, pilots run out of hrs, so have wait on new pilots or crew. Who is doing the scheduling a 1st grader? Maintenance delays for lights that are behind panels that are not even on a checklist but someone notices it so we wait hr for maintenance? I have been flying jet blue for years, but now time to look for different airline! Maybe you should look at all your reviews as company 2.3 stars that should be embarrassing to you and to your CEO. "
"no"," |  Orlando to Newark. I had my and my family's two different bookings of flight by Emirates from MCO to Dubai via Newark as we travelled separately from Dubai to NY. Our flight from MCO to Newark was by JetBlue. I had a confirmation email from Emirates that I can check in from MCO to Newark alone and then recheckin at Newark for Dubai by Emirates to that I can add my bags from Newark. JetBlue check in staff refused me to check in from MCO to Newark alone. He forced us to check in from MCO to Dubai directly. This forced me to make transfer resetting our bags as we already had planned bags to check in at Newark. Later when I checked in my wife and son the other staff allowed us to check in from. MCO to Newark without any trouble. Now this made is so many troubles as we had no plan of reschedule our check in bags. JetBlue staff had no regrets for their such inconsistent policies even though we were facing troubles.  As a matter of service Jetblue staff at check-in could have read the email from Emirates, but he refused to care about it. In future I will certainly think before I book a flight and avoid with JetBlue. "
"no"," |  \r\nI have always loved JetBlue and I tell my family to fly with them but my opinion has now changed and I am unsure I will ever fly with them again. The flight I took today was terrible. I boarded the plane and no one in the crew seemed happy. I said hello and smiled as I do to everyone I meet and I didn’t get a smile or even a word back, and they were looking right at me! One of the crew in particular was very rude and unhappy. He pushed the cart around to sell stuff, I bought a cracker snack box and he never said a word or smiled even with me thanking him and wishing him a good day, the same guy brings the drinks and same thing! The pilot never turned off the seatbelt sign (there was no inclement weather or jolts) and toward the end of the flight I hit the assistance button because my son had to use the restroom really bad and felt like he wasn’t allowed to get up. The same crew member comes and I asked him if my son could go to the restroom because he had been holding it all flight, his response was “no, I can’t let him go because the seatbelt sign is on and it would fall on him if my son got hurt” - so I responded “um, so my son can’t use the restroom?”, his response “no” (at this point my 12 year old is in tears because he felt like he was going to go in his seat). I asked “well what happens if he goes anyway?”, which then received an eye roll and him walking away from us. I told my son to go to the bathroom but to the way the guy spoke to us my son was diving and saying he can’t because he didn’t want to get in trouble. I finally convinced him and he went, though as soon as he got out of the bathroom, the same crew member felt it necessary to come over the speaker with an annoyed voice saying, everyone needs to obey the rules and stay seated when the seatbelt sign is on, just to make my son feel worse...I was livid at this point and couldn’t wait to get off the flight! When leaving the flight none of the crew said goodbye or smiled (which was ridiculous). I have worked in customer service my entire life and no matter what is going on, this is not acceptable!"
"no"," |  Puerto Rico to Austin. I flew for the first time on JetBlue and it will probably be the last time. Almost all my flights were delayed for over an hour and I had to spend a night in Fort Lauderdale because I missed my connecting flight due to the delay of two hours. Thankfully they gave me a ticket for the next day and a place to stay, but the next day the flight was also delayed. My returning flight was again delayed for an hour so I had a layover of five hours. I can definatly say this has not been the most pleasant vacation experience."
"no"," |  Westchester to Orlando. Horrible customer service. Inconsistent policies for checking bags. Actually split up a party allowing one to get on the plane and one because of the 90 minute window to check a bag. Wouldn’t even try to help resolve issue and rude on top of it. I’m a frequent traveler to Orlando for work and used to swear by JetBlue. I think I just took my last flight with them. Customer service over the last year has significantly decreased."
"no"," |  Ft Lauderdale to Port Au Prince. Completely traumatizing experience, checking in to boarding the Airplane was a horrible experience the attendant were very rude. This was my first and only time Traveling jetblue. I paid 497 For horrible customer service. While sitting on airplane I get an email that my flight was also delayed. "
"no"," |  New York to New Orleans. Will never fly again. Multiple delays with no updates. App does not work. Boarding pass does not work. Had to re print boarding pass at gate. No overhead space."
"no"," |  Orlando to Newark. Departing flight was 3 hours late. Didn't get to destination until after 2:00 am. Major inconvenience for relative having to stay up to pick us up from Airport. Returning flight again delayed. Didn't get home until after 2:00 am. Had to pay for extra day of parking. We couldn't go to work next day. Jet blue offer NO compensation. Claims delays were weather related, totally untrue. Jetblue ruined my much anticipated trip. Will never fly Jetblue again."
"no"," |  Fort Lauderdale to New York JFK on July 31st, 2019. The flight was scheduled to depart FLL at 8;32 PM EST and arrive at JFK at roughly 11:36 PM. During the morning on that day, I went online to check the status of the flight. To my surprise, I found out the flight was delayed for nearly three hours! It now read that the flight was scheduled to depart at 11:10 PM and arrive at 2:07 AM. I was shocked at how long this delay and attempted to find out the reason why. However, the Jetblue website was unclear in explaining why. This was urgent because I had a connecting international flight out of JFK from a different airline that was scheduled to depart on-time at 2:30 AM. Because of this situation, I figured I would get to the airport early so I could maybe get on an earlier flight to New York. When I arrived at FLL, I went towards the Jetblue customer service desk. After over 40 minutes of standing in line, I was finally able to talk to a customer service representative. I explained to the representative my entire situation and he said he would try to see what he can do. After 20 minutes of searching on his computer, he said that he could get me on an 8:30 PM Jetblue flight to New York was also delayed and originally scheduled to leave at 2:00 PM. I asked if there were seat available and he said there were. I was hopeful for a few moments but that ended when he stopped talking and went on his phone. After some time, he seemed to make a call but never actually said anything on the phone. After over an hour, he finally told us that this flight that would have saved my entire situation was completely sold out. I had no idea when it was sold out or why it wasn't sold out when the representative told me he could get me seats on it. I asked him if there was anything else that was available and he just said no. I asked him what the reason was for the delay and he said there were thunderstorms in NY causing all flights to NY to get held back. At this point, I was frustrated as I could have used another airline to buy a ticket to NYC instead of wasting my time with Jetblue customer service. However, it was too late and it appeared that all other flights to NYC and Newark that would have fit my time frame were unavailable. I looked at the departure screen and noticed only Jetblue flights to every destination were delayed. No other airline had delayed flights. I also called my family in NYC and they said there were no thunder or rain there.  I decided to just wait for my original flight. At around 11 PM, it was announced that the flight was delayed to 11:30 because there was no pilot for the plane. After 40 minutes, we were finally able to board the plane. After arriving in JFK, I had to reschedule my connecting flight as it already left. They explained I must get a confirmation from Jetblue that my flight was indeed delayed. However, the JFK Jetblue customer service refused information for anything delayed. One of the staff outright said ""We can't give any information about delayed flights!"" and claimed I was ""threatening him"" when I argued it was the other airline that requested the delay confirmation. He began walking towards me closely in an attempt to push me away form the help desk. Worst customer service ever, no transparency or honesty, rude and confrontational employees, I will never fly jetblue again!"
"yes"," |  Philadelphia to Fort Lauderdale. This was my first time flying JetBlue and although the plane had some serious signs of wear and tear the flight experience was pleasant. The front seat reclined, the free snacks, entertainment, drinks, and Wi-Fi were a plus. I wish JetBlue would consider doing rows of two seats and charging more for a bigger seat Like Spirit does with the Big Front Seat. JetBlue is the only four-star airline we have in the USA and it shows. You get a lot for what you pay and the experience on the ground and in the air is very pleasant. Good job JetBlue! I look forward to flying with you again."
"no"," |  Oakland to Long Beach. Up until this flight I was a loyal JetBlue customer. No more. After boarding the flight and having us sit around for an hour so they disembarked us and said there was a simple sensor that needed to be fixed. On an hourly basis they said the problem was going to be resolved. The 10:58 am flight finally took off at 8:30 pm. The level of either incompetence or of deception was extraordinary even in these days where poor performance is expected. It was as if the airline did not want us to cancel and switch to another airline irrespective of the inconvenience to the passenger. Everyone involved in this clear deception did so with a pleasant smile on their face which leads me to conclude the reason for the delay was incompetence rather than deception. We finally decide to pay for a very expensive last minute ticket to an alternate airport that was closer to our destination. Now catch this. Even though a $250 payment was promised per the passenger bill of rights, since we were delayed over 8 hours, if you cancelled your reservation even at the last minute to get on an alternate flight you would lose the payment. So we got a new ticket but did not cancel the old ticket since the payment would exceed the ticket cost. We have had several severe delays on JetBlue recently. The latest 8 hours to fix a sensor was the last straw. Clearly this is a severe management problem. Maintenance is not up to the challenge of flying the heck out of these planes and clearly the airport staff has not been taught how to value customers and treat them honestly. Goodbye JetBlue you were a good friend but have lost your way."
"no"," | When I boarded my flight, everything seemed fine until the pilot reported a 7 and half hour delay, which turned in to a 12 hour delay, then cancelation. We boarded and deplaned my flight, 224, out of LAX to JFK twice! The cancellation was not made official so I could not change my flight online. The line to service help was extremely long and I could not get through to anyone on the phone for over an hour. I risked getting offline to go to a gate in order to get out on standby for a flight leaving the same night. I could not leave the airport so I have to get my checked bag mailed to me, whenever/if ever they find it. I understand delays happen all of the time, however, this situation was very poorly managed by the instructed means from the staff. Once I reached JFK, I received and email notifying me of my flight change from Burbank, a completely different airport in LA which would leave the next night and get me back to JFK two days later! I was in LAX from 6 am through 6pm due to delays and did not reach JFK until 2am the next morning, up almost 24 hours at that point. To make matters worse, flights that took off after my flight flew to JFK just fine. Even other delayed flights left before my flight was even *unofficially* canceled. I don’t know why my flight was so disastrous, but not officially canceling my flight at all really screwed me over. Please do better!"
"no"," |  I was flying from Raleigh to Boston and had a connected flight to Dubai. However, our flight was delayed for about 2 hours and the staff were unsure as to what the cause was for the delay. The ground staff was very rude and and did not give us any explanation for the delay. I tried asking them about what will happen if I miss the flight to Dubai but they were not answering even though Jetblue is associated with the Emirates flight I was going to go in. Overall, the day was very stressful and the uncooperating staff did not make it any easier"
"yes"," |  On July 10, 2019, I had to fly to the Dominican Republic with my husband and two daughters. We went to the airport on time for our flight at 7:00 a.m. There was a problem so we could not arrive on that flight, but rather a different flight that night at 9:00 p.m. We were pretty lost at the airport and didn't quite know where we were going until we asked to speak to the supervisor. He (Tom) didn't just help us get our way through the airport and get us where we needed to be, he gave us first-class tickets, a comfortable flight with a new aircraft, he gave us flight credit and free luggage. I had a great experience with Jet Blue Airways and had a safe flight to and from the Dominican Republic.  I understand sometimes, negative situations happen on the way, but that doesn't mean Jet Blue is the worst airline. I will always fly with Jet blue. Thank you."
"no"," |  New York to Kingston. So firstly my flight delayed four hours without us being informed. I booked five tickets together including one infant and a toddler. JetBlue places the toddler (5) to sit by herself three rows from us. We informed them that’s ridiculous and if anyone should be placed to sit alone it should be one of the adults. They refused to change it. When we got on the plane the dad went to sit with the toddler. Flight attendant came and told him to move and he said no my toddler will not sit alone. She stated that she don’t know why they upgraded our seats and she is going to put us off the plane. "
